,dataset,jobid,timeserie,signal_length,n_brkpts,algo_name,cost_function,loss,penalty,computation_time
181,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Gauss,-20751.790156130402,0.015848931924611134,0.6460444927215576
182,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Gauss,-20751.790156130402,0.25118864315095796,0.973905086517334
183,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Gauss,-20751.790156130402,3.981071705534969,0.8291265964508057
184,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Gauss,-20751.790156130402,63.0957344480193,1.177682638168335
185,dataset_oth_db,1391,bytesRead,1526,1,Pelt,Gauss,-20293.745879630158,1000.0,1.0658073425292969
186,dataset_oth_db,1391,bytesRead,1526,0,Pelt,Linear,2819921595669.0,0.001,3.087716579437256
187,dataset_oth_db,1391,bytesRead,1526,0,Pelt,Linear,2819921595669.0,0.015848931924611134,3.0778915882110596
188,dataset_oth_db,1391,bytesRead,1526,0,Pelt,Linear,2819921595669.0,0.25118864315095796,3.0599558353424072
189,dataset_oth_db,1391,bytesRead,1526,0,Pelt,Linear,2819921595669.0,3.981071705534969,3.0732457637786865
190,dataset_oth_db,1391,bytesRead,1526,0,Pelt,Linear,2819921595669.0,63.0957344480193,3.0753326416015625
191,dataset_oth_db,1391,bytesRead,1526,0,Pelt,Linear,2819921595669.0,1000.0,3.069274663925171
192,dataset_oth_db,1391,bytesRead,1526,1,Pelt,Clinear,2819921504290.875,0.001,2.8597567081451416
193,dataset_oth_db,1391,bytesRead,1526,1,Pelt,Clinear,2819921504290.875,0.015848931924611134,2.8126542568206787
194,dataset_oth_db,1391,bytesRead,1526,1,Pelt,Clinear,2819921504290.875,0.25118864315095796,2.8149847984313965
195,dataset_oth_db,1391,bytesRead,1526,1,Pelt,Clinear,2819921504290.875,3.981071705534969,2.8603832721710205
196,dataset_oth_db,1391,bytesRead,1526,1,Pelt,Clinear,2819921504290.875,63.0957344480193,2.8639862537384033
197,dataset_oth_db,1391,bytesRead,1526,1,Pelt,Clinear,2819921504290.875,1000.0,2.8628716468811035
198,dataset_oth_db,1391,bytesRead,1526,2,Pelt,AR,1409960432322.0005,0.001,4.948927640914917
199,dataset_oth_db,1391,bytesRead,1526,2,Pelt,AR,1409960432322.0005,0.015848931924611134,4.947175979614258
200,dataset_oth_db,1391,bytesRead,1526,2,Pelt,AR,1409960432322.0005,0.25118864315095796,4.955108404159546
201,dataset_oth_db,1391,bytesRead,1526,2,Pelt,AR,1409960432322.0005,3.981071705534969,4.946324348449707
202,dataset_oth_db,1391,bytesRead,1526,2,Pelt,AR,1409960432322.0005,63.0957344480193,4.940341234207153
203,dataset_oth_db,1391,bytesRead,1526,2,Pelt,AR,1409960432322.0005,1000.0,4.955337762832642
204,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Mala,2255937276535.2,0.001,18.958553791046143
205,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Mala,2255937276535.2,0.015848931924611134,18.950517654418945
206,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Mala,2255937276535.2,0.25118864315095796,18.957791805267334
207,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Mala,2255937276535.2,3.981071705534969,18.955042600631714
208,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Mala,2255937276535.2,63.0957344480193,18.948951959609985
209,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Mala,2255937276535.2,1000.0,18.945319652557373
210,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Rank,[[-303.59790095]],0.001,0.45462608337402344
211,dataset_oth_db,1391,bytesRead,1526,3,Pelt,Rank,[[-303.59790095]],0.015848931924611134,1.8450636863708496
